pga,vulnerability,occupancy,smoke_detected,gas_detected,fire_detected,urgency_score,priority
0.085,0.167,28,0,0,0,26,LOW
0.0992,0.359,38,0,0,0,29,LOW
0.0206,0.184,15,0,0,0,17,LOW
0.188,0.573,0,0,0,0,23,LOW
0.0321,0.502,11,0,0,0,22,LOW
0.0137,0.159,32,0,0,0,17,LOW
0.1997,0.173,32,0,0,0,32,MEDIUM
0.0135,0.125,0,0,0,0,1,LOW
0.0286,0.159,0,0,0,0,6,LOW
0.0312,0.1,49,0,0,0,21,LOW
0.041,0.164,413,0,0,0,31,MEDIUM
0.0217,0.192,241,0,0,0,32,MEDIUM
0.0483,0.25,0,0,0,0,8,LOW
0.0644,0.136,5,0,0,0,16,LOW
0.0054,0.181,31,0,0,0,17,LOW
0.0404,0.233,36,0,0,0,22,LOW
0.0107,0.349,0,0,0,0,5,LOW
0.0201,0.151,47,0,0,0,21,LOW
0.0143,0.101,0,0,0,0,1,LOW
0.0081,0.115,0,0,0,0,1,LOW
0.0031,0.263,0,0,0,0,3,LOW
0.0192,0.352,21,0,0,0,20,LOW
0.0348,0.214,5,0,0,0,12,LOW
0.1998,0.275,33,0,0,0,34,MEDIUM
0.0107,0.278,0,0,0,0,4,LOW
0.0275,0.1,127,0,0,0,31,MEDIUM
0.0182,0.363,0,0,0,0,5,LOW
0.0555,0.178,0,0,0,0,11,LOW
0.0316,0.153,22,0,1,0,31,MEDIUM
0.1781,0.838,28,0,0,0,42,MEDIUM
0.0101,0.42,7,1,0,1,36,MEDIUM
0.0303,0.305,0,0,0,0,9,LOW
0.0662,0.243,14,0,0,0,22,LOW
0.0495,0.458,22,0,1,0,36,MEDIUM
0.1542,0.425,0,0,0,0,21,LOW
0.1991,0.395,45,0,0,0,35,MEDIUM
0.0248,0.216,292,0,0,0,32,MEDIUM
0.0015,0.32,1,0,0,0,9,LOW
0.0047,0.302,85,0,0,0,24,LOW
0.0044,0.315,0,0,0,0,4,LOW
0.0325,0.1,21,0,0,0,21,LOW
0.14,0.223,7,0,0,0,28,LOW
0.1045,0.164,0,1,0,0,27,LOW
0.04,0.58,20,0,0,0,23,LOW
0.0726,0.379,23,0,0,0,29,LOW
0.1129,0.141,86,0,0,0,37,MEDIUM
0.0266,0.11,0,0,0,0,6,LOW
0.1764,0.219,20,0,0,0,28,LOW
0.1408,0.1,23,0,0,0,31,MEDIUM
0.0004,0.17,0,0,0,0,2,LOW
0.0331,0.455,31,0,0,0,26,LOW
0.0242,0.1,2,0,1,0,21,LOW
0.0387,0.167,0,0,0,0,7,LOW
0.0639,0.364,0,0,0,0,14,LOW
0.0888,0.185,0,1,0,0,21,LOW
0.0269,0.129,31,0,0,0,21,LOW
0.0557,0.127,27,0,0,0,25,LOW
0.0249,0.244,0,0,0,0,8,LOW
0.0334,0.168,10,0,0,0,17,LOW
0.0132,0.147,20,0,0,0,12,LOW
0.4878,0.1,35,0,0,0,42,MEDIUM
0.0304,0.1,44,0,0,0,21,LOW
0.0331,0.319,25,0,0,0,24,LOW
0.0006,0.433,44,0,0,0,21,LOW
0.033,0.51,4,0,0,0,17,LOW
0.1843,0.118,368,0,0,0,41,MEDIUM
0.0065,0.112,0,0,0,0,1,LOW
0.042,0.342,38,0,0,0,24,LOW
